,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation,name,playerID,season,date,isHome,isWin,isOT,stat.timeOnIce,stat.ot,stat.shutouts,stat.saves,stat.powerPlaySaves,stat.shortHandedSaves,stat.evenSaves,stat.shortHandedShots,stat.evenShots,stat.powerPlayShots,stat.decision,stat.savePercentage,stat.games,stat.gamesStarted,stat.shotsAgainst,stat.goalsAgainst,stat.powerPlaySavePercentage,stat.shortHandedSavePercentage,stat.evenStrengthSavePercentage,team.id,team.name,team.link,opponent.id,opponent.name,opponent.link,game.gamePk,game.link,game.content.link,decisionPTS,FPTS
0,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-02-19,True,True,False,59:57,0.0,0.0,23.0,2.0,1.0,20.0,1.0,22.0,2.0,W,0.92,1.0,1.0,25.0,2.0,100.0,100.0,90.9090909090909,1.0,New Jersey Devils,/api/v1/teams/1,52.0,Winnipeg Jets,/api/v1/teams/52,2022020900.0,/api/v1/game/2022020900/feed/live,/api/v1/game/2022020900/content,3.0,6.52
1,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-02-16,False,False,False,58:58,0.0,0.0,31.0,4.0,0.0,27.0,0.0,30.0,5.0,L,0.885714,1.0,1.0,35.0,4.0,80.0,,90.0,1.0,New Jersey Devils,/api/v1/teams/1,19.0,St. Louis Blues,/api/v1/teams/19,2022020874.0,/api/v1/game/2022020874/feed/live,/api/v1/game/2022020874/content,-1.5,1.9399999999999995
2,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-02-09,True,True,False,59:46,0.0,0.0,33.0,5.0,2.0,26.0,2.0,27.0,5.0,W,0.970588,1.0,1.0,34.0,1.0,100.0,100.0,96.29629629629629,1.0,New Jersey Devils,/api/v1/teams/1,55.0,Seattle Kraken,/api/v1/teams/55,2022020824.0,/api/v1/game/2022020824/feed/live,/api/v1/game/2022020824/content,3.0,9.92
3,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-01-26,False,False,False,57:10,0.0,0.0,35.0,5.0,0.0,30.0,0.0,34.0,6.0,L,0.875,1.0,1.0,40.0,5.0,83.33333333333334,,88.23529411764706,1.0,New Jersey Devils,/api/v1/teams/1,18.0,Nashville Predators,/api/v1/teams/18,2022020775.0,/api/v1/game/2022020775/feed/live,/api/v1/game/2022020775/content,-1.5,1.9000000000000004
4,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-01-19,False,False,True,59:56,1.0,0.0,36.0,1.0,0.0,35.0,0.0,39.0,1.0,O,0.9,1.0,1.0,40.0,4.0,100.0,,89.74358974358975,1.0,New Jersey Devils,/api/v1/teams/1,55.0,Seattle Kraken,/api/v1/teams/55,2022020728.0,/api/v1/game/2022020728/feed/live,/api/v1/game/2022020728/content,1.0,5.640000000000001
5,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-01-14,False,True,False,60:00,0.0,0.0,35.0,4.0,1.0,30.0,1.0,30.0,6.0,W,0.945946,1.0,1.0,37.0,2.0,66.66666666666666,100.0,100.0,1.0,New Jersey Devils,/api/v1/teams/1,26.0,Los Angeles Kings,/api/v1/teams/26,2022020690.0,/api/v1/game/2022020690/feed/live,/api/v1/game/2022020690/content,3.0,9.4
6,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2023-01-01,True,False,True,65:00,1.0,0.0,43.0,7.0,2.0,34.0,3.0,36.0,8.0,O,0.914894,1.0,1.0,47.0,4.0,87.5,66.66666666666666,94.44444444444444,1.0,New Jersey Devils,/api/v1/teams/1,12.0,Carolina Hurricanes,/api/v1/teams/12,2022020590.0,/api/v1/game/2022020590/feed/live,/api/v1/game/2022020590/content,1.0,7.32
7,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-12-23,True,False,False,40:00,0.0,0.0,14.0,0.0,0.0,14.0,0.0,18.0,0.0,L,0.777778,1.0,1.0,18.0,4.0,,,77.77777777777779,1.0,New Jersey Devils,/api/v1/teams/1,6.0,Boston Bruins,/api/v1/teams/6,2022020533.0,/api/v1/game/2022020533/feed/live,/api/v1/game/2022020533/content,-1.5,-2.14
8,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-12-21,False,True,False,60:00,0.0,0.0,34.0,3.0,1.0,30.0,1.0,31.0,4.0,W,0.944444,1.0,1.0,36.0,2.0,75.0,100.0,96.7741935483871,1.0,New Jersey Devils,/api/v1/teams/1,13.0,Florida Panthers,/api/v1/teams/13,2022020518.0,/api/v1/game/2022020518/feed/live,/api/v1/game/2022020518/content,3.0,9.16
10,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-11-03,False,False,False,28:41,0.0,0.0,16.0,2.0,0.0,14.0,0.0,16.0,2.0,,0.888889,1.0,1.0,18.0,2.0,100.0,,87.5,1.0,New Jersey Devils,/api/v1/teams/1,22.0,Edmonton Oilers,/api/v1/teams/22,2022020170.0,/api/v1/game/2022020170/feed/live,/api/v1/game/2022020170/content,0.0,1.8399999999999999
11,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-11-01,False,True,False,60:00,0.0,0.0,21.0,1.0,0.0,20.0,0.0,20.0,3.0,W,0.913043,1.0,1.0,23.0,2.0,33.33333333333333,,100.0,1.0,New Jersey Devils,/api/v1/teams/1,23.0,Vancouver Canucks,/api/v1/teams/23,2022020157.0,/api/v1/game/2022020157/feed/live,/api/v1/game/2022020157/content,3.0,6.039999999999999
12,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-10-24,True,False,False,40:00,0.0,0.0,13.0,3.0,3.0,7.0,4.0,10.0,4.0,L,0.722222,1.0,1.0,18.0,5.0,75.0,75.0,70.0,1.0,New Jersey Devils,/api/v1/teams/1,15.0,Washington Capitals,/api/v1/teams/15,2022020093.0,/api/v1/game/2022020093/feed/live,/api/v1/game/2022020093/content,-1.5,-3.38
13,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-10-22,True,True,False,59:53,0.0,0.0,21.0,1.0,1.0,19.0,1.0,20.0,1.0,W,0.954545,1.0,1.0,22.0,1.0,100.0,100.0,95.0,1.0,New Jersey Devils,/api/v1/teams/1,28.0,San Jose Sharks,/api/v1/teams/28,2022020075.0,/api/v1/game/2022020075/feed/live,/api/v1/game/2022020075/content,3.0,7.039999999999999
14,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-10-20,False,True,False,60:00,0.0,0.0,16.0,3.0,0.0,13.0,0.0,14.0,3.0,W,0.941176,1.0,1.0,17.0,1.0,100.0,,92.85714285714286,1.0,New Jersey Devils,/api/v1/teams/1,2.0,New York Islanders,/api/v1/teams/2,2022020066.0,/api/v1/game/2022020066/feed/live,/api/v1/game/2022020066/content,3.0,5.84
15,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-10-18,True,True,False,60:00,0.0,0.0,18.0,5.0,1.0,12.0,1.0,14.0,5.0,W,0.9,1.0,1.0,20.0,2.0,100.0,100.0,85.71428571428571,1.0,New Jersey Devils,/api/v1/teams/1,24.0,Anaheim Ducks,/api/v1/teams/24,2022020048.0,/api/v1/game/2022020048/feed/live,/api/v1/game/2022020048/content,3.0,5.32
16,29,8478406,Mackenzie Blackwood,/api/v1/people/8478406,G,Goalie,Goalie,G,New Jersey Devils,8478406,20222023,2022-10-13,False,False,False,57:32,0.0,0.0,20.0,5.0,1.0,14.0,1.0,17.0,6.0,L,0.833333,1.0,1.0,24.0,4.0,83.33333333333334,100.0,82.35294117647058,1.0,New Jersey Devils,/api/v1/teams/1,4.0,Philadelphia Flyers,/api/v1/teams/4,2022020012.0,/api/v1/game/2022020012/feed/live,/api/v1/game/2022020012/content,-1.5,-0.7000000000000002
17,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-03-07,True,False,False,57:56,0.0,0.0,21.0,1.0,0.0,20.0,1.0,22.0,2.0,L,0.84,1.0,1.0,25.0,4.0,50.0,0.0,90.9090909090909,1.0,New Jersey Devils,/api/v1/teams/1,10.0,Toronto Maple Leafs,/api/v1/teams/10,2022021015.0,/api/v1/game/2022021015/feed/live,/api/v1/game/2022021015/content,-1.5,-0.45999999999999996
18,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-03-05,False,True,False,60:23,0.0,0.0,25.0,3.0,0.0,22.0,0.0,26.0,3.0,W,0.862069,1.0,1.0,29.0,4.0,100.0,,84.61538461538461,1.0,New Jersey Devils,/api/v1/teams/1,53.0,Arizona Coyotes,/api/v1/teams/53,2022021004.0,/api/v1/game/2022021004/feed/live,/api/v1/game/2022021004/content,3.0,5.0
19,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-03-01,False,True,False,41:26,0.0,0.0,14.0,0.0,0.0,14.0,0.0,19.0,0.0,W,0.736842,1.0,1.0,19.0,5.0,,,73.68421052631578,1.0,New Jersey Devils,/api/v1/teams/1,21.0,Colorado Avalanche,/api/v1/teams/21,2022020971.0,/api/v1/game/2022020971/feed/live,/api/v1/game/2022020971/content,3.0,1.3599999999999994
20,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-23,True,True,False,61:54,0.0,0.0,19.0,2.0,0.0,17.0,0.0,20.0,2.0,W,0.863636,1.0,1.0,22.0,3.0,100.0,,85.0,1.0,New Jersey Devils,/api/v1/teams/1,26.0,Los Angeles Kings,/api/v1/teams/26,2022020923.0,/api/v1/game/2022020923/feed/live,/api/v1/game/2022020923/content,3.0,4.56
21,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-21,True,False,False,59:50,0.0,0.0,13.0,2.0,1.0,10.0,1.0,14.0,2.0,L,0.764706,1.0,1.0,17.0,4.0,100.0,100.0,71.42857142857143,1.0,New Jersey Devils,/api/v1/teams/1,8.0,Montréal Canadiens,/api/v1/teams/8,2022020910.0,/api/v1/game/2022020910/feed/live,/api/v1/game/2022020910/content,-1.5,-2.38
22,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-18,False,True,False,60:00,0.0,0.0,29.0,3.0,1.0,25.0,1.0,26.0,4.0,W,0.935484,1.0,1.0,31.0,2.0,75.0,100.0,96.15384615384616,1.0,New Jersey Devils,/api/v1/teams/1,5.0,Pittsburgh Penguins,/api/v1/teams/5,2022020886.0,/api/v1/game/2022020886/feed/live,/api/v1/game/2022020886/content,3.0,7.960000000000001
23,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-14,False,True,False,60:00,0.0,0.0,31.0,2.0,1.0,28.0,1.0,29.0,3.0,W,0.939394,1.0,1.0,33.0,2.0,66.66666666666666,100.0,96.55172413793103,1.0,New Jersey Devils,/api/v1/teams/1,29.0,Columbus Blue Jackets,/api/v1/teams/29,2022020857.0,/api/v1/game/2022020857/feed/live,/api/v1/game/2022020857/content,3.0,8.44
24,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-11,False,False,True,65:00,1.0,0.0,22.0,1.0,0.0,21.0,0.0,22.0,2.0,O,0.916667,1.0,1.0,24.0,2.0,50.0,,95.45454545454545,1.0,New Jersey Devils,/api/v1/teams/1,30.0,Minnesota Wild,/api/v1/teams/30,2022020843.0,/api/v1/game/2022020843/feed/live,/api/v1/game/2022020843/content,1.0,4.279999999999999
25,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-02-06,True,True,False,64:18,0.0,0.0,26.0,4.0,1.0,21.0,1.0,25.0,4.0,W,0.866667,1.0,1.0,30.0,4.0,100.0,100.0,84.0,1.0,New Jersey Devils,/api/v1/teams/1,23.0,Vancouver Canucks,/api/v1/teams/23,2022020810.0,/api/v1/game/2022020810/feed/live,/api/v1/game/2022020810/content,3.0,5.24
26,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-27,False,True,False,60:20,0.0,0.0,33.0,5.0,0.0,28.0,0.0,29.0,6.0,W,0.942857,1.0,1.0,35.0,2.0,83.33333333333334,,96.55172413793103,1.0,New Jersey Devils,/api/v1/teams/1,25.0,Dallas Stars,/api/v1/teams/25,2022020785.0,/api/v1/game/2022020785/feed/live,/api/v1/game/2022020785/content,3.0,8.92
27,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-24,True,True,False,63:20,0.0,0.0,28.0,3.0,0.0,25.0,0.0,27.0,3.0,W,0.933333,1.0,1.0,30.0,2.0,100.0,,92.5925925925926,1.0,New Jersey Devils,/api/v1/teams/1,54.0,Vegas Golden Knights,/api/v1/teams/54,2022020759.0,/api/v1/game/2022020759/feed/live,/api/v1/game/2022020759/content,3.0,7.719999999999999
28,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-22,True,True,False,62:07,0.0,0.0,25.0,0.0,0.0,25.0,0.0,26.0,0.0,W,0.961538,1.0,1.0,26.0,1.0,,,96.15384615384616,1.0,New Jersey Devils,/api/v1/teams/1,5.0,Pittsburgh Penguins,/api/v1/teams/5,2022020746.0,/api/v1/game/2022020746/feed/live,/api/v1/game/2022020746/content,3.0,8.0
29,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-16,False,True,False,64:05,0.0,0.0,29.0,4.0,0.0,25.0,0.0,27.0,5.0,W,0.90625,1.0,1.0,32.0,3.0,80.0,,92.5925925925926,1.0,New Jersey Devils,/api/v1/teams/1,28.0,San Jose Sharks,/api/v1/teams/28,2022020697.0,/api/v1/game/2022020697/feed/live,/api/v1/game/2022020697/content,3.0,6.960000000000001
30,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-13,False,True,False,60:00,0.0,0.0,31.0,5.0,0.0,26.0,0.0,27.0,6.0,W,0.939394,1.0,1.0,33.0,2.0,83.33333333333334,,96.29629629629629,1.0,New Jersey Devils,/api/v1/teams/1,24.0,Anaheim Ducks,/api/v1/teams/24,2022020675.0,/api/v1/game/2022020675/feed/live,/api/v1/game/2022020675/content,3.0,8.44
31,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-10,False,True,False,60:00,0.0,0.0,25.0,4.0,3.0,18.0,5.0,19.0,4.0,W,0.892857,1.0,1.0,28.0,3.0,100.0,60.0,94.73684210526315,1.0,New Jersey Devils,/api/v1/teams/1,12.0,Carolina Hurricanes,/api/v1/teams/12,2022020650.0,/api/v1/game/2022020650/feed/live,/api/v1/game/2022020650/content,3.0,6.0
32,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-07,True,True,False,62:47,0.0,0.0,31.0,2.0,1.0,28.0,1.0,31.0,2.0,W,0.911765,1.0,1.0,34.0,3.0,100.0,100.0,90.32258064516128,1.0,New Jersey Devils,/api/v1/teams/1,3.0,New York Rangers,/api/v1/teams/3,2022020628.0,/api/v1/game/2022020628/feed/live,/api/v1/game/2022020628/content,3.0,7.4399999999999995
33,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2023-01-04,False,True,False,60:00,0.0,0.0,32.0,2.0,0.0,30.0,0.0,30.0,3.0,W,0.969697,1.0,1.0,33.0,1.0,66.66666666666666,,100.0,1.0,New Jersey Devils,/api/v1/teams/1,17.0,Detroit Red Wings,/api/v1/teams/17,2022020609.0,/api/v1/game/2022020609/feed/live,/api/v1/game/2022020609/content,3.0,9.68
34,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-30,False,True,False,60:00,0.0,0.0,25.0,12.0,2.0,11.0,2.0,13.0,12.0,W,0.925926,1.0,1.0,27.0,2.0,100.0,100.0,84.61538461538461,1.0,New Jersey Devils,/api/v1/teams/1,5.0,Pittsburgh Penguins,/api/v1/teams/5,2022020576.0,/api/v1/game/2022020576/feed/live,/api/v1/game/2022020576/content,3.0,7.0
35,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-28,True,False,False,57:35,0.0,0.0,24.0,4.0,0.0,20.0,0.0,22.0,4.0,L,0.923077,1.0,1.0,26.0,2.0,100.0,,90.9090909090909,1.0,New Jersey Devils,/api/v1/teams/1,6.0,Boston Bruins,/api/v1/teams/6,2022020558.0,/api/v1/game/2022020558/feed/live,/api/v1/game/2022020558/content,-1.5,2.26
37,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-20,False,False,False,40:00,0.0,0.0,10.0,1.0,0.0,9.0,1.0,11.0,1.0,L,0.769231,1.0,1.0,13.0,3.0,100.0,0.0,81.81818181818183,1.0,New Jersey Devils,/api/v1/teams/1,12.0,Carolina Hurricanes,/api/v1/teams/12,2022020512.0,/api/v1/game/2022020512/feed/live,/api/v1/game/2022020512/content,-1.5,-2.1
38,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-15,True,False,False,57:49,0.0,0.0,22.0,3.0,1.0,18.0,1.0,19.0,4.0,L,0.916667,1.0,1.0,24.0,2.0,75.0,100.0,94.73684210526315,1.0,New Jersey Devils,/api/v1/teams/1,4.0,Philadelphia Flyers,/api/v1/teams/4,2022020473.0,/api/v1/game/2022020473/feed/live,/api/v1/game/2022020473/content,-1.5,1.7799999999999994
39,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-12,False,False,True,61:44,1.0,0.0,19.0,4.0,1.0,14.0,1.0,17.0,5.0,O,0.826087,1.0,1.0,23.0,4.0,80.0,100.0,82.35294117647058,1.0,New Jersey Devils,/api/v1/teams/1,3.0,New York Rangers,/api/v1/teams/3,2022020450.0,/api/v1/game/2022020450/feed/live,/api/v1/game/2022020450/content,1.0,1.5599999999999996
40,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-09,True,False,False,24:02,0.0,0.0,13.0,3.0,0.0,10.0,0.0,14.0,3.0,,0.764706,1.0,1.0,17.0,4.0,100.0,,71.42857142857143,1.0,New Jersey Devils,/api/v1/teams/1,2.0,New York Islanders,/api/v1/teams/2,2022020425.0,/api/v1/game/2022020425/feed/live,/api/v1/game/2022020425/content,0.0,-0.8799999999999999
41,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-06,True,True,False,59:58,0.0,1.0,24.0,5.0,1.0,18.0,1.0,18.0,5.0,W,1.0,1.0,1.0,24.0,0.0,100.0,100.0,100.0,1.0,New Jersey Devils,/api/v1/teams/1,16.0,Chicago Blackhawks,/api/v1/teams/16,2022020403.0,/api/v1/game/2022020403/feed/live,/api/v1/game/2022020403/content,3.0,11.76
42,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-12-01,True,False,True,60:33,1.0,0.0,20.0,1.0,0.0,19.0,0.0,23.0,1.0,O,0.833333,1.0,1.0,24.0,4.0,100.0,,82.6086956521739,1.0,New Jersey Devils,/api/v1/teams/1,18.0,Nashville Predators,/api/v1/teams/18,2022020366.0,/api/v1/game/2022020366/feed/live,/api/v1/game/2022020366/content,1.0,1.7999999999999998
43,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-28,False,True,False,60:00,0.0,0.0,35.0,8.0,0.0,27.0,0.0,29.0,9.0,W,0.921053,1.0,1.0,38.0,3.0,88.88888888888889,,93.10344827586206,1.0,New Jersey Devils,/api/v1/teams/1,3.0,New York Rangers,/api/v1/teams/3,2022020346.0,/api/v1/game/2022020346/feed/live,/api/v1/game/2022020346/content,3.0,8.4
44,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-26,True,True,False,59:57,0.0,0.0,37.0,7.0,2.0,28.0,2.0,28.0,8.0,W,0.973684,1.0,1.0,38.0,1.0,87.5,100.0,100.0,1.0,New Jersey Devils,/api/v1/teams/1,15.0,Washington Capitals,/api/v1/teams/15,2022020336.0,/api/v1/game/2022020336/feed/live,/api/v1/game/2022020336/content,3.0,10.879999999999999
45,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-23,True,False,False,57:46,0.0,0.0,18.0,6.0,0.0,12.0,0.0,14.0,6.0,L,0.9,1.0,1.0,20.0,2.0,100.0,,85.71428571428571,1.0,New Jersey Devils,/api/v1/teams/1,10.0,Toronto Maple Leafs,/api/v1/teams/10,2022020308.0,/api/v1/game/2022020308/feed/live,/api/v1/game/2022020308/content,-1.5,0.8200000000000003
46,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-21,True,True,False,59:53,0.0,0.0,28.0,7.0,0.0,21.0,0.0,22.0,8.0,W,0.933333,1.0,1.0,30.0,2.0,87.5,,95.45454545454545,1.0,New Jersey Devils,/api/v1/teams/1,22.0,Edmonton Oilers,/api/v1/teams/22,2022020293.0,/api/v1/game/2022020293/feed/live,/api/v1/game/2022020293/content,3.0,7.719999999999999
47,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-17,False,True,False,60:45,0.0,0.0,25.0,2.0,1.0,22.0,1.0,23.0,3.0,W,0.925926,1.0,1.0,27.0,2.0,66.66666666666666,100.0,95.65217391304348,1.0,New Jersey Devils,/api/v1/teams/1,10.0,Toronto Maple Leafs,/api/v1/teams/10,2022020264.0,/api/v1/game/2022020264/feed/live,/api/v1/game/2022020264/content,3.0,7.0
48,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-15,False,True,False,60:00,0.0,0.0,25.0,3.0,0.0,22.0,0.0,23.0,3.0,W,0.961538,1.0,1.0,26.0,1.0,100.0,,95.65217391304348,1.0,New Jersey Devils,/api/v1/teams/1,8.0,Montréal Canadiens,/api/v1/teams/8,2022020249.0,/api/v1/game/2022020249/feed/live,/api/v1/game/2022020249/content,3.0,8.0
49,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-10,True,False,False,50:37,0.0,0.0,18.0,1.0,0.0,17.0,0.0,19.0,2.0,,0.857143,1.0,1.0,21.0,3.0,50.0,,89.47368421052632,1.0,New Jersey Devils,/api/v1/teams/1,9.0,Ottawa Senators,/api/v1/teams/9,2022020213.0,/api/v1/game/2022020213/feed/live,/api/v1/game/2022020213/content,0.0,1.3200000000000003
50,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-08,True,True,False,60:00,0.0,0.0,33.0,2.0,3.0,28.0,3.0,28.0,4.0,W,0.942857,1.0,1.0,35.0,2.0,50.0,100.0,100.0,1.0,New Jersey Devils,/api/v1/teams/1,20.0,Calgary Flames,/api/v1/teams/20,2022020197.0,/api/v1/game/2022020197/feed/live,/api/v1/game/2022020197/content,3.0,8.92
51,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-11-05,False,True,False,62:14,0.0,0.0,27.0,8.0,1.0,18.0,1.0,21.0,8.0,W,0.9,1.0,1.0,30.0,3.0,100.0,100.0,85.71428571428571,1.0,New Jersey Devils,/api/v1/teams/1,20.0,Calgary Flames,/api/v1/teams/20,2022020187.0,/api/v1/game/2022020187/feed/live,/api/v1/game/2022020187/content,3.0,6.48
53,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-10-30,True,True,False,60:00,0.0,0.0,20.0,2.0,0.0,18.0,0.0,19.0,2.0,W,0.952381,1.0,1.0,21.0,1.0,100.0,,94.73684210526315,1.0,New Jersey Devils,/api/v1/teams/1,29.0,Columbus Blue Jackets,/api/v1/teams/29,2022020139.0,/api/v1/game/2022020139/feed/live,/api/v1/game/2022020139/content,3.0,6.8
54,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-10-28,True,True,False,60:00,0.0,1.0,24.0,8.0,0.0,16.0,0.0,16.0,8.0,W,1.0,1.0,1.0,24.0,0.0,100.0,,100.0,1.0,New Jersey Devils,/api/v1/teams/1,21.0,Colorado Avalanche,/api/v1/teams/21,2022020123.0,/api/v1/game/2022020123/feed/live,/api/v1/game/2022020123/content,3.0,11.76
55,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-10-25,False,True,False,60:00,0.0,0.0,20.0,5.0,0.0,15.0,0.0,17.0,5.0,W,0.909091,1.0,1.0,22.0,2.0,100.0,,88.23529411764706,1.0,New Jersey Devils,/api/v1/teams/1,17.0,Detroit Red Wings,/api/v1/teams/17,2022020102.0,/api/v1/game/2022020102/feed/live,/api/v1/game/2022020102/content,3.0,5.8
57,41,8477970,Vitek Vanecek,/api/v1/people/8477970,G,Goalie,Goalie,G,New Jersey Devils,8477970,20222023,2022-10-15,True,False,False,60:00,0.0,0.0,17.0,3.0,2.0,12.0,2.0,17.0,3.0,L,0.772727,1.0,1.0,22.0,5.0,100.0,100.0,70.58823529411765,1.0,New Jersey Devils,/api/v1/teams/1,17.0,Detroit Red Wings,/api/v1/teams/17,2022020028.0,/api/v1/game/2022020028/feed/live,/api/v1/game/2022020028/content,-1.5,-2.42
